card_id	filename	entity_type	wiki_page	file_title	source_url	source_revision	sha256	match_method	pixel_art	source_sha256	bundled_fallback
item.silly_jester_boots.10839	assets/139b99d330ef78f228086e6246db55921a2a24aea1c323632a645ac36bb05c60.png	ITEM	Silly jester boots	Silly jester boots detail.png	https://oldschool.runescape.wiki/images/Silly_jester_boots_detail.png?c7344	page:;file:2021-08-21T23:00:25Z	139b99d330ef78f228086e6246db55921a2a24aea1c323632a645ac36bb05c60	category-index	false	6cfaaca73e187d426cb6f579f6e430e1aab3d023e6b5612ed1212fb86b6f60b9	true
item.silly_jester_hat.10836	assets/93a7a95ae0f867f7b40b189fb413a16e0c5373e0142c2a07d6397347222aba0c.png	ITEM	Silly jester hat	Silly jester hat detail.png	https://oldschool.runescape.wiki/images/Silly_jester_hat_detail.png?d100a	page:;file:2021-08-21T23:00:26Z	93a7a95ae0f867f7b40b189fb413a16e0c5373e0142c2a07d6397347222aba0c	category-index	false	bf5913683c9cd8e60cd550d66edb55a0dd156c2633110816933d8e25acd6bd6e	true
item.silly_jester_tights.10838	assets/50c7172313c13aba17328e3d0309c4dbd628aebd44cd11b49bc3313f7f612c5f.png	ITEM	Silly jester tights	Silly jester tights detail.png	https://oldschool.runescape.wiki/images/Silly_jester_tights_detail.png?8befc	page:;file:2021-08-21T23:00:27Z	50c7172313c13aba17328e3d0309c4dbd628aebd44cd11b49bc3313f7f612c5f	category-index	false	5b796176b0651627a4ffdbaed45526d4d13e7f0fb978425f39e3f3743bebbaea	true
item.silly_jester_top.10837	assets/28862448d35f9c56da7ae4007a3c9e1367d22fb2e7ddebc8c4671bef48a60fb7.png	ITEM	Silly jester top	Silly jester top detail.png	https://oldschool.runescape.wiki/images/Silly_jester_top_detail.png?d100a	page:;file:2021-08-21T23:00:26Z	28862448d35f9c56da7ae4007a3c9e1367d22fb2e7ddebc8c4671bef48a60fb7	category-index	false	89769d6936d422ce5c1d6e44f04b20a6b6c49c45ffb13226f204c800adf073c0	true
item.silver-bar	assets/1cc5659ff7cd31b829b81d27249aaad7481bedb99240d1cf41ac59bd3471ca72.png	ITEM	Silver bar	Silver bar detail.png	https://oldschool.runescape.wiki/images/Silver_bar_detail.png?d5a90	page:;file:2021-08-21T23:00:10Z	1cc5659ff7cd31b829b81d27249aaad7481bedb99240d1cf41ac59bd3471ca72	category-index	false	53d1f6bec9aaff6f9d578a532e5b380433d321e83ecb4686566c00bc7b0f5094	true
item.silver-ore	assets/97eb7642332aadfaa92c3b8d3baf8a0d4823e58855d052a5d4168b9d37ed1575.png	ITEM	Silver ore	Silver ore detail.png	https://oldschool.runescape.wiki/images/Silver_ore_detail.png?780a5	page:;file:2021-08-21T23:00:35Z	97eb7642332aadfaa92c3b8d3baf8a0d4823e58855d052a5d4168b9d37ed1575	category-index	false	4d22e120afdf63f2f697d4549c7ba98ce1c99178e03e4ee4f3649eaaaadbf410	true
item.silver_bolts.9145	assets/1787595095ab9adda3112a2d4559abcbdc69d5216c78996a232ebf2d12223e66.png	ITEM	Silver bolts	Silver bolts detail.png	https://oldschool.runescape.wiki/images/Silver_bolts_detail.png?c3b45	page:;file:2021-03-22T23:10:43Z	1787595095ab9adda3112a2d4559abcbdc69d5216c78996a232ebf2d12223e66	category-index	false	278c67ddc773ada5dc2c9c52f0b88486ab64c23161ea25af0f0458498a26fbe9	true
item.silver_coffin.25465	assets/aa48de641c3e6d03e3139264236fea5e3242c7d0011cbad42197cbbea7a3256c.png	ITEM	Silver coffin	Silver coffin detail.png	https://oldschool.runescape.wiki/images/Silver_coffin_detail.png?b6026	page:;file:2021-08-21T23:00:29Z	aa48de641c3e6d03e3139264236fea5e3242c7d0011cbad42197cbbea7a3256c	category-index	false	b8c8e1e0b0e0c5683a3a288f19b963c0850bfbd51bb28d276d72a902f15ce3eb	true
item.silver_dust.7650	assets/ad0e5dce6545f261dc7e8931b39d7bef592d309af9cc647b1ef21df6bc3c9114.png	ITEM	Silver dust	Silver dust detail.png	https://oldschool.runescape.wiki/images/thumb/Silver_dust_detail.png/130px-Silver_dust_detail.png	osrs-tcg-offline-cache	ad0e5dce6545f261dc7e8931b39d7bef592d309af9cc647b1ef21df6bc3c9114	osrs-tcg-exact-display-name	false	ad0e5dce6545f261dc7e8931b39d7bef592d309af9cc647b1ef21df6bc3c9114	true
item.silver_feather.10176	assets/83425f00ed74551b4466824f32ffc80ee6b8558eeeee44061bbb13ae9714276c.png	ITEM	Silver feather	Silver feather detail.png	https://oldschool.runescape.wiki/images/Silver_feather_detail.png?297df	page:;file:2021-08-21T23:00:34Z	83425f00ed74551b4466824f32ffc80ee6b8558eeeee44061bbb13ae9714276c	category-index	false	60349f33833018e6b072278da4c43078e35818b400d0d4c1e8e156fff570c934	true
